항목,2WD (A/T),AWD (A/T),스포츠 패키지 2WD (A/T),스포츠 패키지 AWD (A/T),BLACK AWD (A/T)
전장,"5,005 mm","5,005 mm","4,995 mm","4,995 mm","5,005 mm"
전폭,"1,925 mm","1,925 mm","1,925 mm","1,925 mm","1,925 mm"
전고,"1,465 mm","1,465 mm","1,465 mm","1,465 mm","1,465 mm"
축거,"3,010 mm","3,010 mm","3,010 mm","3,010 mm","3,010 mm"
윤거 (전),"1,627 mm","1,627 mm","1,630 mm","1,630 mm","1,630 mm"
윤거 (후),"1,659 mm","1,659 mm","1,637 mm","1,637 mm","1,637 mm"
승차정원,5,5,5,5,5
공차중량,"1,830 kg","1,900 kg","1,855 kg","1,925 kg","1,920 kg"
연료탱크,65 ℓ,65 ℓ,65 ℓ,65 ℓ,65 ℓ
