항목,9인승 프레스티지 2WD (A/T),9인승 인스퍼레이션 2WD (A/T),9인승 리무진 2WD (A/T),7인승 인스퍼레이션 2WD (A/T),7인승 리무진 2WD (A/T)
전장,"5,255 mm","5,255 mm","5,255 mm","5,255 mm","5,255 mm"
전폭,"1,995 mm","1,995 mm","1,995 mm","1,995 mm","1,995 mm"
전고,"1,990 mm","1,990 mm","2,200 mm","1,990 mm","2,200 mm"
축거,"3,275 mm","3,275 mm","3,275 mm","3,275 mm","3,275 mm"
윤거 (전),"1,721 mm","1,721 mm","1,721 mm","1,721 mm","1,721 mm"
윤거 (후),"1,732 mm","1,732 mm","1,732 mm","1,732 mm","1,732 mm"
승차정원,9,9,9,7,7
공차중량,"2,335 kg","2,335 kg","2,470 kg","2,310 kg","2,440 kg"
연료탱크,65 ℓ,65 ℓ,65 ℓ,65 ℓ,65 ℓ
