항목,모던 2WD (A/T),모던 4WD (A/T),프리미엄 2WD (A/T),프리미엄 4WD (A/T),N Line 프리미엄 2WD (A/T),N Line 프리미엄 4WD (A/T),인스퍼레이션 2WD (A/T),인스퍼레이션 4WD (A/T),N Line 인스퍼레이션 2WD (A/T),N Line 인스퍼레이션 4WD (A/T)
전장,"4,640 mm","4,640 mm","4,640 mm","4,640 mm","4,650 mm","4,650 mm","4,640 mm","4,640 mm","4,650 mm","4,650 mm"
전폭,"1,865 mm","1,865 mm","1,865 mm","1,865 mm","1,865 mm","1,865 mm","1,865 mm","1,865 mm","1,865 mm","1,865 mm"
전고,"1,665 mm","1,665 mm","1,665 mm","1,665 mm","1,665 mm","1,665 mm","1,665 mm","1,665 mm","1,665 mm","1,665 mm"
축거,"2,755 mm","2,755 mm","2,755 mm","2,755 mm","2,755 mm","2,755 mm","2,755 mm","2,755 mm","2,755 mm","2,755 mm"
윤거 (전),"1,620 mm","1,620 mm","1,615 mm","1,615 mm","1,615 mm","1,615 mm","1,615 mm","1,615 mm","1,615 mm","1,615 mm"
윤거 (후),"1,627 mm","1,627 mm","1,622 mm","1,622 mm","1,622 mm","1,622 mm","1,622 mm","1,622 mm","1,622 mm","1,622 mm"
승차정원,5,5,5,5,5,5,5,5,5,5
공차중량,"1,625 kg","1,690 kg","1,645 kg","1,690 kg","1,665 kg","1,730 kg","1,645 kg","1,690 kg","1,665 kg","1,730 kg"
연료탱크,52 ℓ,52 ℓ,52 ℓ,52 ℓ,52 ℓ,52 ℓ,52 ℓ,52 ℓ,52 ℓ,52 ℓ
